Symbol,Industry,gt_10pc_gth,future_price_gth,Stacked_mdl_prob,nn_mdl_prob,avg_mdl_prob,Top30_ret,Top100_ret,largest_drawdown,Top30_ret_ddown
TNET,Staffing & Employment Services,0.0,-0.012683848333558194,0.37528333,0.6859475,0.5306154,0.06268903518696232,0.05594483796721389,-0.6397908640616401,0.05303723510093251
DQ,Semiconductor Equipment & Materials,0.0,-0.08198955257778785,0.33623433,0.84058696,0.5884106,0.06268903518696232,0.05594483796721389,-0.6408142664872141,0.05303723510093251
AGI,Gold,1.0,0.12228519837488078,0.33606413,0.78179836,0.55893123,0.06268903518696232,0.05594483796721389,-0.6525732261293269,0.05303723510093251
AVYA,Software-Application,1.0,0.281474820143885,0.54969764,0.6425878,0.5961427,0.06268903518696232,0.05594483796721389,-0.6536815068493151,0.05303723510093251
ECOM,Software-Application,1.0,0.1887804878048781,0.5415622,0.5884325,0.5649973,0.06268903518696232,0.05594483796721389,-0.6635773864689527,0.05303723510093251
SSTI,Software-Application,0.0,-0.14894542291802568,0.5770174,0.48295888,0.52998817,0.06268903518696232,0.05594483796721389,-0.6704193179964104,0.05303723510093251
YELP,Internet Content & Information,1.0,0.19668610003068412,0.4829122,0.5846402,0.5337762,0.06268903518696232,0.05594483796721389,-0.6705645898044947,0.05303723510093251
BB,Software-Infrastructure,0.0,-0.017021276595744695,0.42712793,0.6160925,0.5216102,0.06268903518696232,0.05594483796721389,-0.673775671406003,0.05303723510093251
W,Internet Retail,1.0,0.17887044653348994,0.4345177,0.6030975,0.5188076,0.06268903518696232,0.05594483796721389,-0.6774505070014487,0.05303723510093251
AMBA,Semiconductor Equipment & Materials,0.0,0.0423908435777872,0.6087171,0.5875035,0.5981103,0.06268903518696232,0.05594483796721389,-0.6998360231293691,0.05303723510093251
ASYS,Semiconductor Equipment & Materials,1.0,0.40629470672389123,0.51545876,0.5601241,0.53779143,0.06268903518696232,0.05594483796721389,-0.7012362637362639,0.05303723510093251
AOSL,Semiconductors,0.0,0.08559498956158668,0.49955598,0.5349047,0.51723033,0.06268903518696232,0.05594483796721389,-0.7052873563218389,0.05303723510093251
AXDX,Diagnostics & Research,0.0,-0.23684210526315788,0.7038526,0.5676047,0.63572866,0.06268903518696232,0.05594483796721389,-0.7181049069373944,0.05303723510093251
NTNX,Software-Infrastructure,0.0,0.09698558322411524,0.6308972,0.41828254,0.5245899,0.06268903518696232,0.05594483796721389,-0.7194602272727273,0.05303723510093251
UCTT,Semiconductor Equipment & Materials,1.0,0.49481865284974097,0.5489314,0.51679665,0.53286403,0.06268903518696232,0.05594483796721389,-0.7233834095362508,0.05303723510093251
SOGO,Internet Content & Information,0.0,0.009673518742442573,0.53529197,0.6093597,0.5723258,0.06268903518696232,0.05594483796721389,-0.7242869490060502,0.05303723510093251
DMTK,Diagnostics & Research,0.0,-0.039287457296242057,0.50261235,0.58339536,0.54300386,0.06268903518696232,0.05594483796721389,-0.7367788461538463,0.05303723510093251
BEEM,Solar,0.0,-0.4436421275096865,0.5024165,0.538997,0.5207068,0.06268903518696232,0.05594483796721389,-0.7419718309859155,0.05303723510093251
LNTH,Diagnostics & Research,1.0,0.5113706207744315,0.5504517,0.5862201,0.5683359,0.06268903518696232,0.05594483796721389,-0.7435549525101766,0.05303723510093251
RVLV,Internet Retail,1.0,0.5207212055974166,0.42337367,0.7843879,0.60388076,0.06268903518696232,0.05594483796721389,-0.7493472584856395,0.05303723510093251
PMD,Diagnostics & Research,0.0,-0.02941176470588238,0.46593252,0.55848336,0.5122079,0.06268903518696232,0.05594483796721389,-0.7501980411925682,0.05303723510093251
EZPW,Credit Services,1.0,0.6570155902004454,0.3314483,0.72479725,0.5281228,0.06268903518696232,0.05594483796721389,-0.7531914893617022,0.05303723510093251
DOMO,Software-Application,0.0,0.05931534942419948,0.6075,0.41561309,0.51155657,0.06268903518696232,0.05594483796721389,-0.7535333498636251,0.05303723510093251
CLDR,Software-Application,0.0,0.03732809430255405,0.6442779,0.61409634,0.6291871,0.06268903518696232,0.05594483796721389,-0.7562557924003707,0.05303723510093251
EB,Software-Application,1.0,0.16134453781512598,0.68866324,0.69870824,0.69368577,0.06268903518696232,0.05594483796721389,-0.7567477507497502,0.05303723510093251
PAYS,Specialty Business Services,0.0,-0.29914529914529914,0.46555603,0.68989086,0.57772344,0.06268903518696232,0.05594483796721389,-0.7891156462585034,0.05303723510093251
PRGO,Drug Manufacturers-Specialty & Generic,1.0,0.11435978172090107,0.5754483,0.66413856,0.6197934,0.06268903518696232,0.05594483796721389,-0.7930454691804101,0.05303723510093251
HL,Gold,1.0,0.5720277748405062,0.46634197,0.7573094,0.6118257,0.06268903518696232,0.05594483796721389,-0.7963413294843033,0.05303723510093251
JYNT,Medical Care Facilities,1.0,1.2247156470949894,0.64431655,0.49744084,0.5708787,0.06268903518696232,0.05594483796721389,-0.800589390962672,0.05303723510093251
HCHC,Telecom Services,1.0,0.2349570200573064,0.6239079,0.7639641,0.693936,0.06268903518696232,0.05594483796721389,-0.8075997137094151,0.05303723510093251
EVH,Health Information Services,0.0,0.0814294083186878,0.47902626,0.7980388,0.6385325,0.06268903518696232,0.05594483796721389,-0.8088028169014083,0.05303723510093251
CYRX,Integrated Freight & Logistics,0.0,-0.17404692082111442,0.32072943,0.72698355,0.5238565,0.06268903518696232,0.05594483796721389,-0.8125,0.05303723510093251
CDE,Gold,0.0,0.08839779005524849,0.37667817,0.68008906,0.5283836,0.06268903518696232,0.05594483796721389,-0.814621409921671,0.05303723510093251
EXAS,Diagnostics & Research,0.0,-0.2211286089238845,0.5436542,0.57539845,0.5595263,0.06268903518696232,0.05594483796721389,-0.8308675184936113,0.05303723510093251
